analysingindianrecipes,	 analysingindianrecipescp49,	 delete,	 6_text_analysingindianrecipes,	 -
predictingthesales,	 predictingthesalescp49,	 delete,	 cell_7455,	 -
rclothesdatavisualization,	 rclothesdatavisualizationcp49,	 delete,	 cell_7468,	 -
businessanalysisreport5,	 businessanalysisreport5cp49,	 delete,	 23_png_businessanalysisreport5,	 -
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp49, add,	 4_sub_hingtobeginwithafirsthint,	 42_df_nanalysisandvisualization
merclothesinecommercewish,	 merclothesinecommercewishcp49, add,	 62_df_merclothesinecommercewish,	 cell_7381
ricepredictionwith95score,	 ricepredictionwith95scorecp49, add,	 cell_10343,	 cell_7133
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp49,	 delete,	 14_text_dsusingtheilsuforsurvival,	 -
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp49, add,	 14_df_hyyoushouldnotuseroccurve,	 42_text_ificationedaplotlyseaborn
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp49,	 delete,	 4_text_19pandasprofilingbeginner,	 -
winedatasetdatacleaning,	 winedatasetdatacleaningcp49,	 delete,	 cell_7569,	 -
ificationsmachinelearning,	 ificationsmachinelearningcp49, add,	 cell_7811,	 33_DataFrame_analysingindianrecipes
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp49, add,	 cell_9300,	 cell_7059
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp49, add,	 30_perc_ameswannadobusinesswithit,	 cell_8134
sanalysisandvisualization,	 sanalysisandvisualizationcp49,	 delete,	 cell_8502,	 -
netflixandeda,	 netflixandedacp49, add,	 28_DataFrame_netflixandeda,	 76_text_egrehastalarnsnflandrlmas
mobilepriceprediction,	 mobilepricepredictioncp49, add,	 cell_10308,	 cell_7081
andrecommendationusingknn,	 andrecommendationusingknncp49, add,	 cell_7688,	 cell_8656
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp49, add,	 cell_9980,	 96_DataFrame_olarpowermachinelearningi
lephonepricingpredictions,	 lephonepricingpredictionscp49,	 delete,	 cell_10246,	 -
solarpowergenerationdata,	 solarpowergenerationdatacp49, add,	 9_text_solarpowergenerationdata,	 cell_9221
chooseheartovermind,	 chooseheartovermindcp49,	 delete,	 47_png_chooseheartovermind,	 -
ogisticregressionfeatures,	 ogisticregressionfeaturescp49, add,	 cell_9921,	 19_text_mushroomclassification
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp49, add,	 cell_10143,	 44_text_predictingthesales
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp49,	 delete,	 cell_8619,	 -
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp49, add,	 cell_7269,	 21_png_egrehastalarnsnflandrlmas
classification9975acrfpca,	 classification9975acrfpcacp49,	 delete,	 cell_10033,	 -
mobilepriceclassification,	 mobilepriceclassificationcp49,	 delete,	 12_png_mobilepriceclassification,	 -
mushroomclassification,	 mushroomclassificationcp49,	 delete,	 cell_9945,	 -
winesnsandpltanalysis,	 winesnsandpltanalysiscp49,	 delete,	 11_text_winesnsandpltanalysis,	 -
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp49,	 delete,	 cell_10181,	 -
unitsoldpredictmodel,	 unitsoldpredictmodelcp49,	 delete,	 cell_7306,	 -
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp49, add,	 cell_7907,	 cell_9890
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp49, add,	 31_text_egrehastalarnsnflandrlmas,	 1_text_decisiontreeclassifier
edaonindiancuisine,	 edaonindiancuisinecp49, add,	 cell_7052,	 46_text_hingtobeginwithafirsthint
edanetflix,	 edanetflixcp49, add,	 1_text_edanetflix,	 17_text_sicsedamlforverybeginners
tionedawithvisualizations,	 tionedawithvisualizationscp49,	 delete,	 cell_9855,	 -
indiafbprophetforecasting,	 indiafbprophetforecastingcp49,	 delete,	 4_DataFrame_indiafbprophetforecasting,	 -
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp49,	 delete,	 80_png_sisandvisualizationfifa19,	 -
rningedawithbiomechanical,	 rningedawithbiomechanicalcp49, add,	 22_x_d_rningedawithbiomechanical,	 cell_8012
covid19tweetsedaviz,	 covid19tweetsedavizcp49, add,	 37_text_covid19tweetsedaviz,	 cell_7080
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp49, add,	 cell_8540,	 12_text_classification9975acrfpca
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp49,	 delete,	 cell_9781,	 -
viesanalysisvisualization,	 viesanalysisvisualizationcp49,	 delete,	 40_png_viesanalysisvisualization,	 -
salesendtoendconstruction,	 salesendtoendconstructioncp49, add,	 37_text_salesendtoendconstruction,	 8_text_dfrauddetection95accuracy
winerecommender,	 winerecommendercp49, add,	 47_text_winerecommender,	 29_png_nerationpredictionxgboost
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp49,	 delete,	 3_DataFrame_dnetflixandchillgetfamous,	 -
ystemusingweightedaverage,	 ystemusingweightedaveragecp49,	 delete,	 cell_7740,	 -
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp49,	 delete,	 28_png_andasmatplotlibandseaborn,	 -
decisiontreeclassifier,	 decisiontreeclassifiercp49, add,	 cell_9942,	 cell_10111
shierarchicalonindianfood,	 shierarchicalonindianfoodcp49, add,	 cell_7059,	 4_png_variateplottingwithpandas
nanalysisandvisualization,	 nanalysisandvisualizationcp49, add,	 28_DataFrame_nanalysisandvisualization,	 45_salesData_unitsoldpredictmodel
indianfoodexploration,	 indianfoodexplorationcp49, add,	 8_png_indianfoodexploration,	 46_DataFrame_level12simpleedaonlevel34
eringvslogisticregression,	 eringvslogisticregressioncp49, add,	 47_text_eringvslogisticregression,	 cell_7126
scienceandmachinelearning,	 scienceandmachinelearningcp49,	 delete,	 5_text_scienceandmachinelearning,	 -
lysisandvisualizationwine,	 lysisandvisualizationwinecp49,	 delete,	 17_png_lysisandvisualizationwine,	 -
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp50,	 delete,	 13_png_ithmsandfeatureimportance,	 -
ificationwithrandomforest,	 ificationwithrandomforestcp50, add,	 cell_9883,	 cell_7286
hedaandlogisticregression,	 hedaandlogisticregressioncp50,	 delete,	 cell_8900,	 -
salesprediction,	 salespredictioncp50,	 delete,	 15_text_salesprediction,	 -
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp50, add,	 4_test_acomparisonoffewmlmodels,	 95_power_sensor_olarpowermachinelearningi
videogamesedaseaborn,	 videogamesedaseaborncp50, add,	 45_png_videogamesedaseaborn,	 17_png_hingtobeginwithafirsthint
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp50, add,	 23_text_ndiancuisineedawithplotly,	 9_png_ricepredictionwith95score
recipesanalysis,	 recipesanalysiscp50,	 delete,	 18_flavorregion_recipesanalysis,	 -
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp50,	 delete,	 cell_8960,	 -
iveedavizlinearregression,	 iveedavizlinearregressioncp50, add,	 53_text_iveedavizlinearregression,	 72_df1_eogamesindustrymadesimple
olarpowermachinelearningi,	 olarpowermachinelearningicp50, add,	 169_text_olarpowermachinelearningi,	 cell_8246
fifa19analysis,	 fifa19analysiscp50,	 delete,	 33_text_fifa19analysis,	 -
netflixdataanalysis,	 netflixdataanalysiscp50, add,	 34_text_netflixdataanalysis,	 cell_7561
gsalesregressionr2score95,	 gsalesregressionr2score95cp50,	 delete,	 cell_8419,	 -
solarpowergenerationeda,	 solarpowergenerationedacp50, add,	 36_DataFrame_solarpowergenerationeda,	 18_data_doyouknowaboutfootballers
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp50, add,	 8_png_ningkmeansandhierarchical,	 39_text_fifa19analysis
toseeingredientsimilarity,	 toseeingredientsimilaritycp50,	 delete,	 22_DataFrame_toseeingredientsimilarity,	 -
eofmlclassificationmodels,	 eofmlclassificationmodelscp50, add,	 cell_8972,	 cell_7859
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp50, add,	 22_png_ndationenginewithnetworkx,	 5_png_eogamesindustrymadesimple
lysiswithlinearregression,	 lysiswithlinearregressioncp50,	 delete,	 23_text_lysiswithlinearregression,	 -
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp50, add,	 26_text_sicsedamlforverybeginners,	 17_movies_andrecommendationusingknn
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp50, add,	 53_text_izationplotlyplotstreemap,	 cell_8750
usinggaussiandistribution,	 usinggaussiandistributioncp50, add,	 cell_8401,	 cell_7558
classification929accuracy,	 classification929accuracycp50, add,	 4_png_classification929accuracy,	 cell_8373
amesdatasetedausingpython,	 amesdatasetedausingpythoncp50,	 delete,	 43_png_amesdatasetedausingpython,	 -
indianfood101,	 indianfood101cp50,	 delete,	 2_DataFrame_indianfood101,	 -
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp50, add,	 cell_7942,	 cell_9850
fifa19visualization,	 fifa19visualizationcp50,	 delete,	 cell_9438,	 -
businessanalysisreport3,	 businessanalysisreport3cp50,	 delete,	 13_df_businessanalysisreport3,	 -
chesswinnerprediction,	 chesswinnerpredictioncp50,	 delete,	 cell_8848,	 -
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp50, add,	 cell_8818,	 20_text_indianfoodexploration
solarpowerplantanalysis,	 solarpowerplantanalysiscp50,	 delete,	 24_df_weath_1_solarpowerplantanalysis,	 -
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp50,	 delete,	 cell_7239,	 -
thefutureofpowerissolar,	 thefutureofpowerissolarcp50, add,	 9_text_thefutureofpowerissolar,	 cell_8893
covid19tweetanalysis,	 covid19tweetanalysiscp50, add,	 8_DataFrame_covid19tweetanalysis,	 36_png_tionedawithvisualizations
tavisualizationwithpython,	 tavisualizationwithpythoncp50,	 delete,	 cell_8789,	 -
iencetutorialforbeginners,	 iencetutorialforbeginnerscp50,	 delete,	 64_data_iencetutorialforbeginners,	 -
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp50, add,	 cell_7245,	 cell_10197
isvisualizationwithpython,	 isvisualizationwithpythoncp50, add,	 23_text_isvisualizationwithpython,	 7_df_titles_dnetflixandchillgetfamous
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp50,	 delete,	 cell_9199,	 -
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp50, add,	 3_DataFrame_criptionswithnlpandkmeans,	 cell_9169
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp50,	 delete,	 23_only_twitter_nsivetutorialdatacleaning,	 -
ics1descriptivestatistics,	 ics1descriptivestatisticscp50,	 delete,	 62_png_ics1descriptivestatistics,	 -
borsknnclassification7525,	 borsknnclassification7525cp50,	 delete,	 cell_10081,	 -
variateplottingwithpandas,	 variateplottingwithpandascp50, add,	 33_text_variateplottingwithpandas,	 cell_9551
isforsolarpowergeneration,	 isforsolarpowergenerationcp50, add,	 cell_8245,	 cell_8196
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp50, add,	 30_text_iewsdatasetinsightsofdata,	 4_test_df_hingtobeginwithafirsthint
heartdisease,	 heartdiseasecp50,	 delete,	 26_X_heartdisease,	 -
nerationpredictionxgboost,	 nerationpredictionxgboostcp50, add,	 cell_8285,	 cell_9011
analysisvizrecommendation,	 analysisvizrecommendationcp50,	 delete,	 cell_9321,	 -
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp50, add,	 65_JP_deogamesalesedawithplotly,	 8_text_andasmatplotlibandseaborn
exploratorydataanalysis,	 exploratorydataanalysiscp50,	 delete,	 cell_8920,	 -
ddatasetsvmclassification,	 ddatasetsvmclassificationcp50,	 delete,	 cell_8365,	 -
videogamesanalysis,	 videogamesanalysiscp50,	 delete,	 8_png_videogamesanalysis,	 -
dfrauddetection95accuracy,	 dfrauddetection95accuracycp50, add,	 cell_8327,	 cell_7044
analysingindianrecipes,	 analysingindianrecipescp50,	 delete,	 cell_7086,	 -
predictingthesales,	 predictingthesalescp50, add,	 42_text_predictingthesales,	 79_df1_eogamesindustrymadesimple
rclothesdatavisualization,	 rclothesdatavisualizationcp50, add,	 4_DataFrame_rclothesdatavisualization,	 cell_9527
businessanalysisreport5,	 businessanalysisreport5cp50, add,	 42_png_businessanalysisreport5,	 cell_7926
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp50,	 delete,	 25_plain_stats_train_hingtobeginwithafirsthint,	 -
merclothesinecommercewish,	 merclothesinecommercewishcp50,	 delete,	 24_DataFrame_merclothesinecommercewish,	 -
ricepredictionwith95score,	 ricepredictionwith95scorecp50, add,	 18_text_ricepredictionwith95score,	 132_data_iencetutorialforbeginners
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp50,	 delete,	 cell_9837,	 -
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp50, add,	 cell_8376,	 cell_9037
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp50,	 delete,	 17_text_19pandasprofilingbeginner,	 -
winedatasetdatacleaning,	 winedatasetdatacleaningcp50, add,	 11_png_winedatasetdatacleaning,	 cell_7214
ificationsmachinelearning,	 ificationsmachinelearningcp50,	 delete,	 52_text_ificationsmachinelearning,	 -
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp50,	 delete,	 12_png_tplotlibvisualizationtips,	 -
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp50, add,	 cell_8669,	 21_text_recipesanalysis
sanalysisandvisualization,	 sanalysisandvisualizationcp50,	 delete,	 cell_8502,	 -
netflixandeda,	 netflixandedacp50,	 delete,	 28_DataFrame_netflixandeda,	 -
mobilepriceprediction,	 mobilepricepredictioncp50,	 delete,	 cell_10312,	 -
andrecommendationusingknn,	 andrecommendationusingknncp50, add,	 cell_7705,	 15_text_19pandasprofilingbeginner
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp50, add,	 33_png_nmethodsonmushroomdataset,	 105_png_sisandvisualizationfifa19
lephonepricingpredictions,	 lephonepricingpredictionscp50, add,	 13_DataFrame_lephonepricingpredictions,	 149_DataFrame_iencetutorialforbeginners
solarpowergenerationdata,	 solarpowergenerationdatacp50, add,	 cell_8301,	 10_text_indianfoodexploration
chooseheartovermind,	 chooseheartovermindcp50, add,	 47_png_chooseheartovermind,	 7_text_salesendtoendconstruction
ogisticregressionfeatures,	 ogisticregressionfeaturescp50, add,	 cell_9920,	 25_DataFrame_9tweetsentimentalanalysis
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp50, add,	 cell_10142,	 28_DataFrame_salesendtoendconstruction
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp50, add,	 72_png_eogamesindustrymadesimple,	 26_text_businessanalysisreport3
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp50, add,	 cell_7265,	 cell_7276
classification9975acrfpca,	 classification9975acrfpcacp50,	 delete,	 40_png_classification9975acrfpca,	 -
mobilepriceclassification,	 mobilepriceclassificationcp50, add,	 cell_10250,	 cell_10049
mushroomclassification,	 mushroomclassificationcp50,	 delete,	 cell_9956,	 -
winesnsandpltanalysis,	 winesnsandpltanalysiscp50, add,	 9_text_winesnsandpltanalysis,	 cell_10114
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp50, add,	 36_x_train_ificationedaplotlyseaborn,	 120_DataFrame_doyouknowaboutfootballers
unitsoldpredictmodel,	 unitsoldpredictmodelcp50, add,	 39_salesData_unitsoldpredictmodel,	 11_df_ificationwithrandomforest
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp50, add,	 2_test_df_level_4_geiiisimpleedaandcracking,	 60_salesData_unitsoldpredictmodel
egrehastalarnsnflandrlmas,	 egrehastalarnsnflandrlmascp50, add,	 67_text_egrehastalarnsnflandrlmas,	 21_text_ameswannadobusinesswithit
edaonindiancuisine,	 edaonindiancuisinecp50, add,	 7_text_edaonindiancuisine,	 cell_7679
edanetflix,	 edanetflixcp50,	 delete,	 6_text_edanetflix,	 -
tionedawithvisualizations,	 tionedawithvisualizationscp50, add,	 12_text_tionedawithvisualizations,	 cell_9621
indiafbprophetforecasting,	 indiafbprophetforecastingcp50,	 delete,	 25_png_indiafbprophetforecasting,	 -
sisandvisualizationfifa19,	 sisandvisualizationfifa19cp50,	 delete,	 102_df_club_rating_sisandvisualizationfifa19,	 -
rningedawithbiomechanical,	 rningedawithbiomechanicalcp50, add,	 29_text_rningedawithbiomechanical,	 cell_9935
covid19tweetsedaviz,	 covid19tweetsedavizcp50, add,	 55_text_covid19tweetsedaviz,	 67_data_iveedavizlinearregression
ssalesdataedaandwordcloud,	 ssalesdataedaandwordcloudcp50,	 delete,	 cell_8535,	 -
doyouknowaboutfootballers,	 doyouknowaboutfootballerscp50, add,	 84_png_doyouknowaboutfootballers,	 3_text_sicsedamlforverybeginners
viesanalysisvisualization,	 viesanalysisvisualizationcp50,	 delete,	 54_text_viesanalysisvisualization,	 -
salesendtoendconstruction,	 salesendtoendconstructioncp50, add,	 28_DataFrame_salesendtoendconstruction,	 79_text_analysisvizrecommendation
winerecommender,	 winerecommendercp50,	 delete,	 51_cnt_winerecommender,	 -
dnetflixandchillgetfamous,	 dnetflixandchillgetfamouscp50, add,	 20_df_mov_dnetflixandchillgetfamous,	 cell_10055
ystemusingweightedaverage,	 ystemusingweightedaveragecp50,	 delete,	 11_DataFrame_ystemusingweightedaverage,	 -
andasmatplotlibandseaborn,	 andasmatplotlibandseaborncp50,	 delete,	 25_text_andasmatplotlibandseaborn,	 -
decisiontreeclassifier,	 decisiontreeclassifiercp50, add,	 14_X_train_decisiontreeclassifier,	 cell_10259
shierarchicalonindianfood,	 shierarchicalonindianfoodcp50,	 delete,	 6_text_shierarchicalonindianfood,	 -
nanalysisandvisualization,	 nanalysisandvisualizationcp50, add,	 2_text_nanalysisandvisualization,	 5_test_lephonepricingpredictions
indianfoodexploration,	 indianfoodexplorationcp50,	 delete,	 2_DataFrame_indianfoodexploration,	 -
eringvslogisticregression,	 eringvslogisticregressioncp50, add,	 14_DataFrame_eringvslogisticregression,	 8_png_ddatasetsvmclassification
scienceandmachinelearning,	 scienceandmachinelearningcp50,	 delete,	 cell_10165,	 -
lysisandvisualizationwine,	 lysisandvisualizationwinecp50,	 delete,	 13_png_lysisandvisualizationwine,	 -
ithmsandfeatureimportance,	 ithmsandfeatureimportancecp51,	 delete,	 7_X_ithmsandfeatureimportance,	 -
ificationwithrandomforest,	 ificationwithrandomforestcp51, add,	 46_png_ificationwithrandomforest,	 cell_8698
hedaandlogisticregression,	 hedaandlogisticregressioncp51,	 delete,	 35_text_hedaandlogisticregression,	 -
salesprediction,	 salespredictioncp51,	 delete,	 30_text_salesprediction,	 -
acomparisonoffewmlmodels,	 acomparisonoffewmlmodelscp51,	 delete,	 cell_9931,	 -
videogamesedaseaborn,	 videogamesedaseaborncp51,	 delete,	 9_text_videogamesedaseaborn,	 -
ndiancuisineedawithplotly,	 ndiancuisineedawithplotlycp51, add,	 cell_7150,	 11_food_columns_dpredictionwithtensorflow
recipesanalysis,	 recipesanalysiscp51, add,	 22_text_recipesanalysis,	 cell_9375
9tweetsentimentalanalysis,	 9tweetsentimentalanalysiscp51, add,	 3_data_9tweetsentimentalanalysis,	 cell_8447
iveedavizlinearregression,	 iveedavizlinearregressioncp51, add,	 cell_9445,	 40_df_nanalysisandvisualization
olarpowermachinelearningi,	 olarpowermachinelearningicp51,	 delete,	 cell_8063,	 -
fifa19analysis,	 fifa19analysiscp51,	 delete,	 36_png_fifa19analysis,	 -
netflixdataanalysis,	 netflixdataanalysiscp51,	 delete,	 28_df_netflixdataanalysis,	 -
gsalesregressionr2score95,	 gsalesregressionr2score95cp51, add,	 36_text_gsalesregressionr2score95,	 73_DataFrame_iencetutorialforbeginners
solarpowergenerationeda,	 solarpowergenerationedacp51, add,	 43_inverter_rank_p1_solarpowergenerationeda,	 cell_9249
ningkmeansandhierarchical,	 ningkmeansandhierarchicalcp51,	 delete,	 8_png_ningkmeansandhierarchical,	 -
toseeingredientsimilarity,	 toseeingredientsimilaritycp51,	 delete,	 41_png_toseeingredientsimilarity,	 -
eofmlclassificationmodels,	 eofmlclassificationmodelscp51, add,	 13_test_eofmlclassificationmodels,	 cell_9160
ndationenginewithnetworkx,	 ndationenginewithnetworkxcp51, add,	 15_png_ndationenginewithnetworkx,	 cell_7855
lysiswithlinearregression,	 lysiswithlinearregressioncp51,	 delete,	 35_png_lysiswithlinearregression,	 -
sicsedamlforverybeginners,	 sicsedamlforverybeginnerscp51, add,	 28_df_sicsedamlforverybeginners,	 cell_8956
izationplotlyplotstreemap,	 izationplotlyplotstreemapcp51,	 delete,	 cell_9155,	 -
usinggaussiandistribution,	 usinggaussiandistributioncp51, add,	 cell_8388,	 cell_9375
classification929accuracy,	 classification929accuracycp51, add,	 3_text_classification929accuracy,	 cell_9319
amesdatasetedausingpython,	 amesdatasetedausingpythoncp51,	 delete,	 18_text_amesdatasetedausingpython,	 -
indianfood101,	 indianfood101cp51,	 delete,	 19_png_indianfood101,	 -
level12simpleedaonlevel34,	 level12simpleedaonlevel34cp51,	 delete,	 14_text_level12simpleedaonlevel34,	 -
fifa19visualization,	 fifa19visualizationcp51,	 delete,	 29_text_fifa19visualization,	 -
businessanalysisreport3,	 businessanalysisreport3cp51,	 delete,	 cell_8709,	 -
chesswinnerprediction,	 chesswinnerpredictioncp51,	 delete,	 cell_8849,	 -
edictionusingmlalgorithms,	 edictionusingmlalgorithmscp51, add,	 20_text_edictionusingmlalgorithms,	 cell_9954
solarpowerplantanalysis,	 solarpowerplantanalysiscp51,	 delete,	 cell_8170,	 -
dpredictionwithtensorflow,	 dpredictionwithtensorflowcp51,	 delete,	 10_text_dpredictionwithtensorflow,	 -
thefutureofpowerissolar,	 thefutureofpowerissolarcp51, add,	 cell_8180,	 cell_9301
covid19tweetanalysis,	 covid19tweetanalysiscp51,	 delete,	 cell_8945,	 -
tavisualizationwithpython,	 tavisualizationwithpythoncp51, add,	 40_png_tavisualizationwithpython,	 cell_7762
iencetutorialforbeginners,	 iencetutorialforbeginnerscp51, add,	 cell_9600,	 cell_9634
atasetexploratoryanalysis,	 atasetexploratoryanalysiscp51,	 delete,	 5_text_atasetexploratoryanalysis,	 -
isvisualizationwithpython,	 isvisualizationwithpythoncp51,	 delete,	 107_png_isvisualizationwithpython,	 -
lixedaconsumptionanalysis,	 lixedaconsumptionanalysiscp51,	 delete,	 6_data_lixedaconsumptionanalysis,	 -
criptionswithnlpandkmeans,	 criptionswithnlpandkmeanscp51, add,	 cell_7558,	 cell_7077
nsivetutorialdatacleaning,	 nsivetutorialdatacleaningcp51,	 delete,	 27_df_nsivetutorialdatacleaning,	 -
ics1descriptivestatistics,	 ics1descriptivestatisticscp51, add,	 cell_9081,	 cell_7885
borsknnclassification7525,	 borsknnclassification7525cp51,	 delete,	 4_DataFrame_borsknnclassification7525,	 -
variateplottingwithpandas,	 variateplottingwithpandascp51,	 delete,	 2_reviews_variateplottingwithpandas,	 -
isforsolarpowergeneration,	 isforsolarpowergenerationcp51, add,	 cell_8242,	 cell_7360
iewsdatasetinsightsofdata,	 iewsdatasetinsightsofdatacp51,	 delete,	 5_dataset_iewsdatasetinsightsofdata,	 -
heartdisease,	 heartdiseasecp51,	 delete,	 cell_7820,	 -
nerationpredictionxgboost,	 nerationpredictionxgboostcp51,	 delete,	 cell_8275,	 -
analysisvizrecommendation,	 analysisvizrecommendationcp51,	 delete,	 cell_9343,	 -
deogamesalesedawithplotly,	 deogamesalesedawithplotlycp51,	 delete,	 57_pubwisegame_deogamesalesedawithplotly,	 -
exploratorydataanalysis,	 exploratorydataanalysiscp51,	 delete,	 15_text_exploratorydataanalysis,	 -
ddatasetsvmclassification,	 ddatasetsvmclassificationcp51,	 delete,	 58_text_ddatasetsvmclassification,	 -
videogamesanalysis,	 videogamesanalysiscp51,	 delete,	 cell_8772,	 -
dfrauddetection95accuracy,	 dfrauddetection95accuracycp51,	 delete,	 8_text_dfrauddetection95accuracy,	 -
analysingindianrecipes,	 analysingindianrecipescp51, add,	 4_df_indian_recipes_analysingindianrecipes,	 29_png_covid19tweetanalysis
predictingthesales,	 predictingthesalescp51, add,	 cell_7431,	 cell_8605
rclothesdatavisualization,	 rclothesdatavisualizationcp51,	 delete,	 17_DataFrame_rclothesdatavisualization,	 -
businessanalysisreport5,	 businessanalysisreport5cp51,	 delete,	 11_text_businessanalysisreport5,	 -
hingtobeginwithafirsthint,	 hingtobeginwithafirsthintcp51,	 delete,	 cell_7931,	 -
merclothesinecommercewish,	 merclothesinecommercewishcp51,	 delete,	 cell_7368,	 -
ricepredictionwith95score,	 ricepredictionwith95scorecp51,	 delete,	 9_text_ricepredictionwith95score,	 -
dsusingtheilsuforsurvival,	 dsusingtheilsuforsurvivalcp51,	 delete,	 27_text_dsusingtheilsuforsurvival,	 -
hyyoushouldnotuseroccurve,	 hyyoushouldnotuseroccurvecp51, add,	 17_png_hyyoushouldnotuseroccurve,	 27_png_merclothesinecommercewish
19pandasprofilingbeginner,	 19pandasprofilingbeginnercp51,	 delete,	 19_text_19pandasprofilingbeginner,	 -
winedatasetdatacleaning,	 winedatasetdatacleaningcp51, add,	 cell_7570,	 9_text_gsalesregressionr2score95
ificationsmachinelearning,	 ificationsmachinelearningcp51, add,	 cell_7815,	 cell_7527
tplotlibvisualizationtips,	 tplotlibvisualizationtipscp51, add,	 cell_9301,	 52_DataFrame_amesdatasetedausingpython
ameswannadobusinesswithit,	 ameswannadobusinesswithitcp51, add,	 30_perc_ameswannadobusinesswithit,	 cell_10175
sanalysisandvisualization,	 sanalysisandvisualizationcp51, add,	 cell_8530,	 17_text_covid19tweetanalysis
netflixandeda,	 netflixandedacp51, add,	 cell_9261,	 cell_8729
mobilepriceprediction,	 mobilepricepredictioncp51,	 delete,	 68_text_mobilepriceprediction,	 -
andrecommendationusingknn,	 andrecommendationusingknncp51, add,	 cell_7704,	 20_text_predictingthesales
nmethodsonmushroomdataset,	 nmethodsonmushroomdatasetcp51, add,	 26_text_nmethodsonmushroomdataset,	 cell_9807
lephonepricingpredictions,	 lephonepricingpredictionscp51,	 delete,	 cell_10230,	 -
solarpowergenerationdata,	 solarpowergenerationdatacp51,	 delete,	 7_text_solarpowergenerationdata,	 -
chooseheartovermind,	 chooseheartovermindcp51,	 delete,	 cell_7754,	 -
ogisticregressionfeatures,	 ogisticregressionfeaturescp51, add,	 cell_9926,	 40_png_businessanalysisreport5
ngtobasicregressionmodels,	 ngtobasicregressionmodelscp51,	 delete,	 11_text_ngtobasicregressionmodels,	 -
eogamesindustrymadesimple,	 eogamesindustrymadesimplecp51, add,	 8_text_eogamesindustrymadesimple,	 22_df2_indiafbprophetforecasting
lerexoplanetsearchresults,	 lerexoplanetsearchresultscp51,	 delete,	 17_text_lerexoplanetsearchresults,	 -
classification9975acrfpca,	 classification9975acrfpcacp51, add,	 cell_9987,	 12_text_indianfoodexploration
mobilepriceclassification,	 mobilepriceclassificationcp51,	 delete,	 50_DataFrame_mobilepriceclassification,	 -
mushroomclassification,	 mushroomclassificationcp51,	 delete,	 1_mushrooms_mushroomclassification,	 -
winesnsandpltanalysis,	 winesnsandpltanalysiscp51, add,	 3_DataFrame_winesnsandpltanalysis,	 cell_8432
ificationedaplotlyseaborn,	 ificationedaplotlyseaborncp51, add,	 cell_10206,	 28_df_sample_ddatasetsvmclassification
unitsoldpredictmodel,	 unitsoldpredictmodelcp51, add,	 60_salesData_unitsoldpredictmodel,	 cell_7595
geiiisimpleedaandcracking,	 geiiisimpleedaandcrackingcp51, add,	 cell_7902,	 23_png_mobilepriceprediction
